i,date,holiday
264,2017-3-1,Ash Wednesday
265,2017-3-1,St David's Day
266,2017-3-17,St Patricks Day
267,2017-3-26,British Summertime (BST) Begins
268,2017-3-26,Mothering Sunday (Mothers Day)
269,2017-4-1,April Fool's Day
270,2017-4-13,Maundy Thursday
271,2017-4-14,Good Friday
272,2017-4-16,Easter Sunday
273,2017-4-17,Easter Monday
274,2017-4-21,Queen Elizabeth's Birthday
275,2017-4-23,St George's Day
276,2017-5-1,May Day (Early May Bank Holiday)
277,2017-5-29,Spring Bank Holiday
278,2017-6-14,Trooping the Colour
279,2017-6-18,Father's Day
280,2017-7-14,Emmeline Pankhurst Day
281,2017-7-15,St.Swithun's Day (aka St. Swithin's)
282,2017-8-28,Summer Bank Holiday
283,2017-10-29,British Summertime (BST) Ends
284,2017-10-31,Halloween
285,2017-11-1,All Saints Day
286,2017-11-5,Guy Fawkes Night
287,2017-11-12,Remembrance Day (Remembrance Sunday)
288,2017-11-30,St Andrew's Day
289,2017-12-25,Christmas
290,2017-12-26,Boxing Day
291,2018-1-1,New Year's Day
292,2018-1-25,Robert Burns Night (Burns Night)
293,2018-1-27,Holocaust Memorial Day
294,2018-2-13,Shrove Tuesday (Pancake Day)
295,2018-2-14,Ash Wednesday
296,2018-2-14,Valentines Day
297,2018-3-1,St David's Day
298,2018-3-11,Mothering Sunday (Mothers Day)
299,2018-3-17,St Patricks Day
300,2018-3-25,British Summertime (BST) Begins
301,2018-3-29,Maundy Thursday
302,2018-3-30,Good Friday
303,2018-4-1,April Fool's Day
304,2018-4-1,Easter Sunday
305,2018-4-2,Easter Monday
306,2018-4-21,Queen Elizabeth's Birthday
307,2018-4-23,St George's Day
308,2018-5-7,May Day (Early May Bank Holiday)
309,2018-5-28,Spring Bank Holiday
310,2018-6-14,Trooping the Colour
311,2018-6-17,Father's Day
312,2018-7-14,Emmeline Pankhurst Day
313,2018-7-15,St.Swithun's Day (aka St. Swithin's)
314,2018-8-27,Summer Bank Holiday
315,2018-10-28,British Summertime (BST) Ends
316,2018-10-31,Halloween
317,2018-11-1,All Saints Day
318,2018-11-5,Guy Fawkes Night
319,2018-11-30,St Andrew's Day
320,2018-12-25,Christmas
321,2018-12-26,Boxing Day
322,2019-1-1,New Year's Day
323,2019-1-25,Robert Burns Night (Burns Night)
324,2019-1-27,Holocaust Memorial Day
325,2019-2-14,Valentines Day
326,2019-3-1,St David's Day
327,2019-3-5,Shrove Tuesday (Pancake Day)
328,2019-3-6,Ash Wednesday
329,2019-3-17,St Patricks Day
330,2019-3-31,British Summertime (BST) Begins
331,2019-3-31,Mothering Sunday (Mothers Day)
332,2019-4-1,April Fool's Day
333,2019-4-18,Maundy Thursday
334,2019-4-19,Good Friday
335,2019-4-21,Easter Sunday
336,2019-4-21,Queen Elizabeth's Birthday
337,2019-4-22,Easter Monday
338,2019-4-23,St George's Day
339,2019-5-6,May Day (Early May Bank Holiday)
340,2019-5-27,Spring Bank Holiday
341,2019-6-14,Trooping the Colour
342,2019-6-16,Father's Day
343,2019-7-14,Emmeline Pankhurst Day
344,2019-7-15,St.Swithun's Day (aka St. Swithin's)
345,2019-8-26,Summer Bank Holiday
346,2019-10-27,British Summertime (BST) Ends
347,2019-10-31,Halloween
348,2019-11-1,All Saints Day
349,2019-11-5,Guy Fawkes Night
350,2019-11-10,Remembrance Day (Remembrance Sunday)
351,2019-11-30,St Andrew's Day
352,2019-12-25,Christmas
353,2019-12-26,Boxing Day
354,2020-1-1,New Year's Day
355,2020-1-25,Robert Burns Night (Burns Night)
356,2020-1-27,Holocaust Memorial Day
357,2020-2-14,Valentines Day
358,2020-2-25,Shrove Tuesday (Pancake Day)
359,2020-2-26,Ash Wednesday
360,2020-3-1,St David's Day
361,2020-3-17,St Patricks Day
362,2020-3-22,Mothering Sunday (Mothers Day)
363,2020-3-29,British Summertime (BST) Begins
364,2020-4-1,April Fool's Day
365,2020-4-9,Maundy Thursday
366,2020-4-10,Good Friday
367,2020-4-12,Easter Sunday
368,2020-4-13,Easter Monday
369,2020-4-21,Queen Elizabeth's Birthday
370,2020-4-23,St George's Day
371,2020-5-4,May Day (Early May Bank Holiday)
372,2020-5-25,Spring Bank Holiday
373,2020-6-14,Trooping the Colour
374,2020-6-21,Father's Day
375,2020-7-14,Emmeline Pankhurst Day
376,2020-7-15,St.Swithun's Day (aka St. Swithin's)
377,2020-8-31,Summer Bank Holiday
378,2020-10-25,British Summertime (BST) Ends
379,2020-10-31,Halloween
380,2020-11-1,All Saints Day
381,2020-11-5,Guy Fawkes Night
382,2020-11-8,Remembrance Day (Remembrance Sunday)
383,2020-11-30,St Andrew's Day
384,2020-12-25,Christmas
385,2020-12-28,Boxing Day
386,2021-1-1,New Year's Day
387,2021-1-25,Robert Burns Night (Burns Night)
388,2021-1-27,Holocaust Memorial Day
389,2021-2-14,Valentines Day
390,2021-2-25,Shrove Tuesday (Pancake Day)
391,2021-2-26,Ash Wednesday
392,2021-3-1,St David's Day
393,2021-3-17,St Patricks Day
394,2021-3-22,Mothering Sunday (Mothers Day)
395,2021-3-29,British Summertime (BST) Begins
396,2021-4-1,April Fool's Day
397,2021-4-9,Maundy Thursday
398,2021-4-10,Good Friday
399,2021-4-12,Easter Sunday
400,2021-4-13,Easter Monday
401,2021-4-21,Queen Elizabeth's Birthday
402,2021-4-23,St George's Day
403,2021-5-4,May Day (Early May Bank Holiday)
404,2021-5-25,Spring Bank Holiday
405,2021-6-14,Trooping the Colour
406,2021-6-21,Father's Day
407,2021-7-14,Emmeline Pankhurst Day
408,2021-7-15,St.Swithun's Day (aka St. Swithin's)
409,2021-8-31,Summer Bank Holiday
