date,holiday
2020-4-10,Good Friday
2020-4-12,Easter Sunday
2020-4-13,Easter Monday
2020-4-21,Queen Elizabeth's Birthday
2020-4-23,St George's Day
2020-5-4,May Day (Early May Bank Holiday)
2020-5-25,Spring Bank Holiday
2020-6-14,Trooping the Colour
2020-6-21,Father's Day
2020-7-14,Emmeline Pankhurst Day
2020-7-15,St.Swithun's Day (aka St. Swithin's)
2020-8-31,Summer Bank Holiday
2020-10-25,British Summertime (BST) Ends
2020-10-31,Halloween
2020-11-1,All Saints Day
2020-11-5,Guy Fawkes Night
2020-11-8,Remembrance Day (Remembrance Sunday)
2020-11-30,St Andrew's Day
2020-12-25,Christmas
2020-12-28,Boxing Day
2021-1-1,New Year's Day
2021-1-25,Robert Burns Night (Burns Night)
2021-1-27,Holocaust Memorial Day
2021-2-14,Valentines Day
2021-2-25,Shrove Tuesday (Pancake Day)
2021-2-26,Ash Wednesday
2021-3-1,St David's Day
2021-3-17,St Patricks Day
2021-3-22,Mothering Sunday (Mothers Day)
2021-3-29,British Summertime (BST) Begins
2021-4-1,April Fool's Day
2021-4-9,Maundy Thursday
2021-4-10,Good Friday
2021-4-12,Easter Sunday
2021-4-13,Easter Monday
2021-4-21,Queen Elizabeth's Birthday
2021-4-23,St George's Day
2021-5-4,May Day (Early May Bank Holiday)
2021-5-25,Spring Bank Holiday
2021-6-14,Trooping the Colour
2021-6-21,Father's Day
2021-7-14,Emmeline Pankhurst Day
2021-7-15,St.Swithun's Day (aka St. Swithin's)
2021-8-31,Summer Bank Holiday
2021-10-25,British Summertime (BST) Ends
2021-10-31,Halloween
2021-11-1,All Saints Day
2021-11-5,Guy Fawkes Night
2021-11-8,Remembrance Day (Remembrance Sunday)
2021-11-30,St Andrew's Day
2021-12-25,Christmas
2021-12-28,Boxing Day
2022-1-1,New Year's Day
2022-1-25,Robert Burns Night (Burns Night)
2022-1-27,Holocaust Memorial Day
2022-2-14,Valentines Day
2022-2-25,Shrove Tuesday (Pancake Day)
2022-2-26,Ash Wednesday
2022-3-1,St David's Day
2022-3-17,St Patricks Day
2022-3-22,Mothering Sunday (Mothers Day)
2022-3-29,British Summertime (BST) Begins
2022-4-1,April Fool's Day
2022-4-9,Maundy Thursday
2022-4-10,Good Friday
2022-4-12,Easter Sunday
2022-4-13,Easter Monday
2022-4-21,Queen Elizabeth's Birthday
2022-4-23,St George's Day
2022-5-4,May Day (Early May Bank Holiday)
2022-5-25,Spring Bank Holiday
2022-6-14,Trooping the Colour
2022-6-21,Father's Day
2022-7-14,Emmeline Pankhurst Day
2022-7-15,St.Swithun's Day (aka St. Swithin's)
2022-8-31,Summer Bank Holiday
2022-10-25,British Summertime (BST) Ends
2022-10-31,Halloween
2022-11-1,All Saints Day
2022-11-5,Guy Fawkes Night
2022-11-8,Remembrance Day (Remembrance Sunday)
2022-11-30,St Andrew's Day
2022-12-25,Christmas
2022-12-28,Boxing Day
2023-1-1,New Year's Day
2023-1-25,Robert Burns Night (Burns Night)
2023-1-27,Holocaust Memorial Day
2023-2-14,Valentines Day
2023-2-25,Shrove Tuesday (Pancake Day)
2023-2-26,Ash Wednesday
2023-3-1,St David's Day
2023-3-17,St Patricks Day
2023-3-22,Mothering Sunday (Mothers Day)
2023-3-29,British Summertime (BST) Begins
2023-4-1,April Fool's Day
2023-4-9,Maundy Thursday
2023-4-10,Good Friday
2023-4-12,Easter Sunday
2023-4-13,Easter Monday
2023-4-21,Queen Elizabeth's Birthday
2023-4-23,St George's Day
2023-5-4,May Day (Early May Bank Holiday)
2023-5-25,Spring Bank Holiday
2023-6-14,Trooping the Colour
2023-6-21,Father's Day
2023-7-14,Emmeline Pankhurst Day
2023-7-15,St.Swithun's Day (aka St. Swithin's)
2023-8-31,Summer Bank Holiday
2023-10-25,British Summertime (BST) Ends
2023-10-31,Halloween
2023-11-1,All Saints Day
2023-11-5,Guy Fawkes Night
2023-11-8,Remembrance Day (Remembrance Sunday)
2023-11-30,St Andrew's Day
2023-12-25,Christmas
2023-12-28,Boxing Day
